month,department,level,headcount_or_hires,avg_salary_or_exits,location
2024-06-01,HR,Lead,2,97800.0,Bangkok HQ
2024-06-01,HR,Manager,1,110800.0,Bangkok HQ
2024-06-01,HR,_movement,2,0,ALL
2024-06-01,Customer Success,Junior,5,43600.0,Bangkok HQ
2024-06-01,Customer Success,Mid,5,52600.0,Chiang Mai Hub
2024-06-01,Customer Success,Senior,4,83200.0,Bangkok HQ
2024-06-01,Customer Success,Lead,2,102900.0,Bangkok HQ
2024-06-01,Customer Success,Manager,1,132400.0,Bangkok HQ
2024-06-01,Customer Success,_movement,1,0,ALL
2024-07-01,Sales,Junior,15,40300.0,Bangkok HQ
2024-07-01,Sales,Mid,15,60700.0,Bangkok HQ
2024-07-01,Sales,Senior,10,56200.0,Bangkok HQ
2024-07-01,Sales,Lead,6,106700.0,Bangkok HQ
2024-07-01,Sales,Manager,4,125900.0,Rayong Plant
2024-07-01,Sales,_movement,1,0,ALL
2024-07-01,Marketing,Junior,4,25100.0,Rayong Plant
2024-07-01,Marketing,Mid,4,42200.0,Bangkok HQ
2024-07-01,Marketing,Senior,3,56400.0,Bangkok HQ
2024-07-01,Marketing,Lead,2,77900.0,Bangkok HQ
2024-07-01,Marketing,Manager,1,140600.0,Bangkok HQ
2024-07-01,Marketing,_movement,0,0,ALL
2024-07-01,Engineering,Junior,9,27600.0,Bangkok HQ
2024-07-01,Engineering,Mid,9,51500.0,Rayong Plant
2024-07-01,Engineering,Senior,6,79300.0,Rayong Plant
2024-07-01,Engineering,Lead,3,121400.0,Bangkok HQ
2024-07-01,Engineering,Manager,2,126200.0,Bangkok HQ
2024-07-01,Engineering,_movement,1,0,ALL
2024-07-01,Finance,Junior,12,40900.0,Rayong Plant
2024-07-01,Finance,Mid,12,44100.0,Bangkok HQ
2024-07-01,Finance,Senior,8,58300.0,Bangkok HQ
2024-07-01,Finance,Lead,5,86500.0,Bangkok HQ
2024-07-01,Finance,Manager,3,115000.0,Bangkok HQ
2024-07-01,Finance,_movement,1,0,ALL
2024-07-01,Operations,Junior,4,28500.0,Bangkok HQ
2024-07-01,Operations,Mid,4,37600.0,Rayong Plant
2024-07-01,Operations,Senior,3,91400.0,Bangkok HQ
2024-07-01,Operations,Lead,2,99200.0,Bangkok HQ
2024-07-01,Operations,Manager,1,125100.0,Bangkok HQ
2024-07-01,Operations,_movement,1,0,ALL
2024-07-01,HR,Junior,5,31500.0,Bangkok HQ
2024-07-01,HR,Mid,5,62900.0,Bangkok HQ
2024-07-01,HR,Senior,3,88800.0,Bangkok HQ
2024-07-01,HR,Lead,2,77800.0,Bangkok HQ
2024-07-01,HR,Manager,1,146000.0,Bangkok HQ
2024-07-01,HR,_movement,0,0,ALL
2024-07-01,Customer Success,Junior,5,36800.0,Bangkok HQ
2024-07-01,Customer Success,Mid,5,47500.0,Bangkok HQ
2024-07-01,Customer Success,Senior,4,71800.0,Bangkok HQ
2024-07-01,Customer Success,Lead,2,97200.0,Bangkok HQ
2024-07-01,Customer Success,Manager,1,134700.0,Bangkok HQ
2024-07-01,Customer Success,_movement,1,1,ALL
2024-08-01,Sales,Junior,16,35000.0,Bangkok HQ
2024-08-01,Sales,Mid,16,40200.0,Rayong Plant
2024-08-01,Sales,Senior,10,76100.0,Bangkok HQ
2024-08-01,Sales,Lead,6,86000.0,Bangkok HQ
2024-08-01,Sales,Manager,4,98800.0,Bangkok HQ
2024-08-01,Sales,_movement,1,0,ALL
2024-08-01,Marketing,Junior,4,37400.0,Bangkok HQ
2024-08-01,Marketing,Mid,4,47500.0,Bangkok HQ
2024-08-01,Marketing,Senior,3,79700.0,Bangkok HQ
2024-08-01,Marketing,Lead,2,73000.0,Bangkok HQ
2024-08-01,Marketing,Manager,1,138400.0,Bangkok HQ
2024-08-01,Marketing,_movement,2,1,ALL
2024-08-01,Engineering,Junior,9,37200.0,Bangkok HQ
2024-08-01,Engineering,Mid,9,60900.0,Bangkok HQ
2024-08-01,Engineering,Senior,6,84400.0,Chiang Mai Hub
2024-08-01,Engineering,Lead,3,104300.0,Bangkok HQ
2024-08-01,Engineering,Manager,2,137000.0,Bangkok HQ
2024-08-01,Engineering,_movement,0,0,ALL
2024-08-01,Finance,Junior,12,32700.0,Bangkok HQ
2024-08-01,Finance,Mid,12,46100.0,Bangkok HQ
2024-08-01,Finance,Senior,8,66500.0,Rayong Plant
2024-08-01,Finance,Lead,5,85700.0,Bangkok HQ
2024-08-01,Finance,Manager,3,155500.0,Bangkok HQ
2024-08-01,Finance,_movement,0,0,ALL
2024-08-01,Operations,Junior,4,28300.0,Bangkok HQ
2024-08-01,Operations,Mid,4,51600.0,Chiang Mai Hub
2024-08-01,Operations,Senior,3,95600.0,Bangkok HQ
2024-08-01,Operations,Lead,2,103200.0,Bangkok HQ
2024-08-01,Operations,Manager,1,140200.0,Bangkok HQ
2024-08-01,Operations,_movement,0,0,ALL
2024-08-01,HR,Junior,5,42000.0,Bangkok HQ
2024-08-01,HR,Mid,5,48400.0,Bangkok HQ
2024-08-01,HR,Senior,3,65600.0,Chiang Mai Hub
2024-08-01,HR,Lead,2,93700.0,Rayong Plant
2024-08-01,HR,Manager,1,119600.0,Bangkok HQ
2024-08-01,HR,_movement,0,0,ALL
2024-08-01,Customer Success,Junior,5,25300.0,Rayong Plant
2024-08-01,Customer Success,Mid,5,42200.0,Chiang Mai Hub
2024-08-01,Customer Success,Senior,3,68800.0,Rayong Plant
2024-08-01,Customer Success,Lead,2,120700.0,Bangkok HQ
2024-08-01,Customer Success,Manager,1,99100.0,Bangkok HQ
2024-08-01,Customer Success,_movement,0,1,ALL
2024-09-01,Sales,Junior,16,29100.0,Rayong Plant
2024-09-01,Sales,Mid,16,50300.0,Bangkok HQ
2024-09-01,Sales,Senior,11,64600.0,Bangkok HQ
2024-09-01,Sales,Lead,6,96300.0,Chiang Mai Hub
2024-09-01,Sales,Manager,4,152800.0,Rayong Plant
2024-09-01,Sales,_movement,1,0,ALL
2024-09-01,Marketing,Junior,4,37700.0,Bangkok HQ
2024-09-01,Marketing,Mid,4,46800.0,Rayong Plant
2024-09-01,Marketing,Senior,3,95600.0,Bangkok HQ
2024-09-01,Marketing,Lead,2,104900.0,Bangkok HQ
2024-09-01,Marketing,Manager,1,152800.0,Bangkok HQ
2024-09-01,Marketing,_movement,1,0,ALL
2024-09-01,Engineering,Junior,9,35600.0,Bangkok HQ
2024-09-01,Engineering,Mid,9,52700.0,Bangkok HQ
2024-09-01,Engineering,Senior,6,79900.0,Bangkok HQ
2024-09-01,Engineering,Lead,3,90200.0,Bangkok HQ
2024-09-01,Engineering,Manager,2,104400.0,Bangkok HQ
2024-09-01,Engineering,_movement,0,0,ALL
2024-09-01,Finance,Junior,13,39700.0,Bangkok HQ
2024-09-01,Finance,Mid,13,64300.0,Bangkok HQ
2024-09-01,Finance,Senior,9,76700.0,Bangkok HQ
2024-09-01,Finance,Lead,5,98300.0,Bangkok HQ
2024-09-01,Finance,Manager,3,122600.0,Bangkok HQ
2024-09-01,Finance,_movement,3,0,ALL
2024-09-01,Operations,Junior,4,33600.0,Bangkok HQ
2024-09-01,Operations,Mid,4,53800.0,Chiang Mai Hub
2024-09-01,Operations,Senior,3,90700.0,Bangkok HQ
2024-09-01,Operations,Lead,2,101300.0,Bangkok HQ
2024-09-01,Operations,Manager,1,146900.0,Bangkok HQ
2024-09-01,Operations,_movement,1,1,ALL
2024-09-01,HR,Junior,5,30600.0,Rayong Plant
2024-09-01,HR,Mid,5,58800.0,Bangkok HQ
2024-09-01,HR,Senior,3,85900.0,Bangkok HQ
2024-09-01,HR,Lead,2,104300.0,Chiang Mai Hub
2024-09-01,HR,Manager,1,145000.0,Bangkok HQ
2024-09-01,HR,_movement,0,0,ALL
2024-09-01,Customer Success,Junior,5,38900.0,Rayong Plant
2024-09-01,Customer Success,Mid,5,48300.0,Bangkok HQ
2024-09-01,Customer Success,Senior,3,74100.0,Rayong Plant
2024-09-01,Customer Success,Lead,2,98300.0,Chiang Mai Hub
2024-09-01,Customer Success,Manager,1,138300.0,Rayong Plant
2024-09-01,Customer Success,_movement,0,1,ALL
2024-10-01,Sales,Junior,16,42800.0,Bangkok HQ
2024-10-01,Sales,Mid,16,56400.0,Bangkok HQ
2024-10-01,Sales,Senior,11,72900.0,Bangkok HQ
2024-10-01,Sales,Lead,6,101300.0,Bangkok HQ
2024-10-01,Sales,Manager,4,107200.0,Bangkok HQ
2024-10-01,Sales,_movement,0,0,ALL
2024-10-01,Marketing,Junior,5,34700.0,Bangkok HQ
2024-10-01,Marketing,Mid,5,44600.0,Bangkok HQ
2024-10-01,Marketing,Senior,3,65300.0,Bangkok HQ
2024-10-01,Marketing,Lead,2,122100.0,Bangkok HQ
2024-10-01,Marketing,Manager,1,106200.0,Bangkok HQ
2024-10-01,Marketing,_movement,2,1,ALL
2024-10-01,Engineering,Junior,9,37200.0,Bangkok HQ
2024-10-01,Engineering,Mid,9,43300.0,Rayong Plant
2024-10-01,Engineering,Senior,6,68900.0,Chiang Mai Hub
2024-10-01,Engineering,Lead,3,98200.0,Bangkok HQ
2024-10-01,Engineering,Manager,2,110900.0,Chiang Mai Hub
2024-10-01,Engineering,_movement,0,0,ALL
2024-10-01,Finance,Junior,13,34200.0,Bangkok HQ
2024-10-01,Finance,Mid,13,37500.0,Bangkok HQ
2024-10-01,Finance,Senior,9,83300.0,Bangkok HQ
2024-10-01,Finance,Lead,5,125200.0,Bangkok HQ
2024-10-01,Finance,Manager,4,137000.0,Rayong Plant
2024-10-01,Finance,_movement,2,1,ALL
2024-10-01,Operations,Junior,4,33900.0,Bangkok HQ
2024-10-01,Operations,Mid,4,39000.0,Bangkok HQ
2024-10-01,Operations,Senior,3,58900.0,Chiang Mai Hub
2024-10-01,Operations,Lead,2,82000.0,Bangkok HQ
2024-10-01,Operations,Manager,1,118800.0,Rayong Plant
2024-10-01,Operations,_movement,1,0,ALL
2024-10-01,HR,Junior,4,33400.0,Rayong Plant
2024-10-01,HR,Mid,4,66300.0,Bangkok HQ
2024-10-01,HR,Senior,3,90800.0,Bangkok HQ
2024-10-01,HR,Lead,2,102200.0,Rayong Plant
2024-10-01,HR,Manager,1,146700.0,Bangkok HQ
2024-10-01,HR,_movement,1,2,ALL
2024-10-01,Customer Success,Junior,5,40300.0,Bangkok HQ
2024-10-01,Customer Success,Mid,5,61600.0,Bangkok HQ
2024-10-01,Customer Success,Senior,3,74900.0,Bangkok HQ
2024-10-01,Customer Success,Lead,2,105900.0,Bangkok HQ
2024-10-01,Customer Success,Manager,1,109800.0,Rayong Plant
2024-10-01,Customer Success,_movement,0,0,ALL
2024-11-01,Sales,Junior,16,34000.0,Bangkok HQ
2024-11-01,Sales,Mid,16,49100.0,Bangkok HQ
2024-11-01,Sales,Senior,11,86400.0,Bangkok HQ
2024-11-01,Sales,Lead,7,115500.0,Bangkok HQ
2024-11-01,Sales,Manager,4,97900.0,Bangkok HQ
2024-11-01,Sales,_movement,2,0,ALL
2024-11-01,Marketing,Junior,4,26000.0,Bangkok HQ
2024-11-01,Marketing,Mid,4,48600.0,Bangkok HQ
2024-11-01,Marketing,Senior,3,55900.0,Bangkok HQ
2024-11-01,Marketing,Lead,2,78500.0,Bangkok HQ
2024-11-01,Marketing,Manager,1,134300.0,Bangkok HQ
2024-11-01,Marketing,_movement,0,1,ALL
2024-11-01,Engineering,Junior,9,42400.0,Rayong Plant
2024-11-01,Engineering,Mid,9,59800.0,Bangkok HQ
2024-11-01,Engineering,Senior,6,94800.0,Bangkok HQ
2024-11-01,Engineering,Lead,4,72900.0,Bangkok HQ
2024-11-01,Engineering,Manager,2,124200.0,Bangkok HQ
2024-11-01,Engineering,_movement,2,0,ALL
2024-11-01,Finance,Junior,13,39400.0,Bangkok HQ
2024-11-01,Finance,Mid,13,40900.0,Chiang Mai Hub
2024-11-01,Finance,Senior,9,98500.0,Bangkok HQ
2024-11-01,Finance,Lead,5,104700.0,Rayong Plant
2024-11-01,Finance,Manager,4,91500.0,Rayong Plant
2024-11-01,Finance,_movement,0,0,ALL
2024-11-01,Operations,Junior,5,44000.0,Bangkok HQ
2024-11-01,Operations,Mid,5,42700.0,Bangkok HQ
2024-11-01,Operations,Senior,3,78700.0,Bangkok HQ
2024-11-01,Operations,Lead,2,81200.0,Bangkok HQ
2024-11-01,Operations,Manager,1,103800.0,Bangkok HQ
2024-11-01,Operations,_movement,1,0,ALL
2024-11-01,HR,Junior,5,37300.0,Chiang Mai Hub
2024-11-01,HR,Mid,5,43300.0,Bangkok HQ
2024-11-01,HR,Senior,3,78500.0,Rayong Plant
2024-11-01,HR,Lead,2,76200.0,Bangkok HQ
2024-11-01,HR,Manager,1,132500.0,Bangkok HQ
2024-11-01,HR,_movement,1,0,ALL
2024-11-01,Customer Success,Junior,4,34300.0,Bangkok HQ
2024-11-01,Customer Success,Mid,4,57900.0,Bangkok HQ
2024-11-01,Customer Success,Senior,3,60900.0,Bangkok HQ
2024-11-01,Customer Success,Lead,2,124000.0,Bangkok HQ
2024-11-01,Customer Success,Manager,1,126900.0,Bangkok HQ
2024-11-01,Customer Success,_movement,0,1,ALL
2024-12-01,Sales,Junior,16,29300.0,Bangkok HQ
