date,channel,device,sessions,users,pageviews,bounce_rate,avg_session_duration_sec,conversions
2024-01-03,Paid Search,Desktop,208,197,428,0.435,69.3,2
2024-01-03,Paid Search,Mobile,332,302,1114,0.659,227.2,8
2024-01-03,Paid Search,Tablet,47,36,198,0.653,146.2,0
2024-01-03,Social,Desktop,406,343,1718,0.503,227.7,3
2024-01-03,Social,Mobile,253,231,812,0.36,238.6,2
2024-01-03,Social,Tablet,86,77,326,0.571,70.5,1
2024-01-03,Direct,Desktop,249,194,562,0.474,84.8,2
2024-01-03,Direct,Mobile,290,217,560,0.595,164.1,7
2024-01-03,Direct,Tablet,46,41,163,0.336,191.1,1
2024-01-03,Email,Desktop,103,84,206,0.628,45.3,1
2024-01-03,Email,Mobile,140,116,564,0.414,83.2,1
2024-01-03,Email,Tablet,22,17,82,0.43,230.0,0
2024-01-03,Referral,Desktop,55,42,242,0.353,106.6,0
2024-01-03,Referral,Mobile,94,72,318,0.583,60.2,2
2024-01-03,Referral,Tablet,10,9,18,0.682,216.9,0
2024-01-04,Organic Search,Desktop,576,536,2055,0.34,70.2,7
2024-01-04,Organic Search,Mobile,918,821,2990,0.536,220.9,13
2024-01-04,Organic Search,Tablet,115,94,471,0.534,126.9,2
2024-01-04,Paid Search,Desktop,265,237,511,0.386,50.8,2
2024-01-04,Paid Search,Mobile,200,184,398,0.669,178.8,4
2024-01-04,Paid Search,Tablet,41,38,107,0.478,136.7,0
2024-01-04,Social,Desktop,368,346,1407,0.445,68.0,6
2024-01-04,Social,Mobile,397,334,755,0.411,131.5,3
2024-01-04,Social,Tablet,88,77,374,0.518,99.4,0
2024-01-04,Direct,Desktop,245,214,1058,0.68,143.6,4
2024-01-04,Direct,Mobile,315,240,639,0.502,159.5,6
2024-01-04,Direct,Tablet,41,33,133,0.352,207.1,0
2024-01-04,Email,Desktop,108,92,215,0.669,59.2,0
2024-01-04,Email,Mobile,125,113,343,0.577,100.6,3
2024-01-04,Email,Tablet,18,14,43,0.625,80.8,0
2024-01-04,Referral,Desktop,83,71,308,0.419,163.4,0
2024-01-04,Referral,Mobile,98,76,216,0.657,184.4,1
2024-01-04,Referral,Tablet,15,12,61,0.414,78.6,0
2024-01-05,Organic Search,Desktop,631,523,1632,0.655,59.4,4
2024-01-05,Organic Search,Mobile,858,811,2299,0.409,88.4,23
2024-01-05,Organic Search,Tablet,146,125,618,0.389,194.2,1
2024-01-05,Paid Search,Desktop,297,241,788,0.512,170.9,3
2024-01-05,Paid Search,Mobile,293,272,632,0.529,112.2,8
2024-01-05,Paid Search,Tablet,50,43,193,0.661,76.7,0
2024-01-05,Social,Desktop,337,288,746,0.375,152.9,2
2024-01-05,Social,Mobile,379,292,1200,0.535,221.3,11
2024-01-05,Social,Tablet,71,62,295,0.631,134.3,1
2024-01-05,Direct,Desktop,218,176,399,0.382,230.7,4
2024-01-05,Direct,Mobile,240,183,506,0.397,146.6,5
2024-01-05,Direct,Tablet,46,40,134,0.358,177.6,0
2024-01-05,Email,Desktop,89,69,270,0.68,45.6,0
2024-01-05,Email,Mobile,136,111,511,0.561,228.0,1
2024-01-05,Email,Tablet,22,17,49,0.549,169.8,0
2024-01-05,Referral,Desktop,76,61,174,0.678,87.7,0
2024-01-05,Referral,Mobile,82,61,165,0.683,179.9,2
2024-01-05,Referral,Tablet,14,11,42,0.576,208.8,0
2024-01-06,Organic Search,Desktop,654,535,2152,0.645,133.1,13
2024-01-06,Organic Search,Mobile,1008,856,2919,0.388,45.4,25
2024-01-06,Organic Search,Tablet,144,115,514,0.564,160.7,2
2024-01-06,Paid Search,Desktop,326,303,902,0.304,95.5,9
2024-01-06,Paid Search,Mobile,331,278,1076,0.612,146.9,9
2024-01-06,Paid Search,Tablet,53,47,237,0.625,217.6,0
2024-01-06,Social,Desktop,430,377,1454,0.354,49.3,5
2024-01-06,Social,Mobile,579,542,1870,0.598,82.6,4
2024-01-06,Social,Tablet,64,60,286,0.345,88.3,1
2024-01-06,Direct,Desktop,285,251,1190,0.409,74.5,6
2024-01-06,Direct,Mobile,316,265,1290,0.629,212.7,6
2024-01-06,Direct,Tablet,52,49,151,0.655,61.9,0
2024-01-06,Email,Desktop,132,112,439,0.598,95.5,1
2024-01-06,Email,Mobile,124,94,487,0.383,179.2,3
2024-01-06,Email,Tablet,20,16,84,0.646,97.9,0
2024-01-06,Referral,Desktop,93,72,268,0.691,137.8,2
2024-01-06,Referral,Mobile,106,99,229,0.499,155.4,0
2024-01-06,Referral,Tablet,15,11,49,0.392,71.4,0
2024-01-07,Organic Search,Desktop,708,603,3041,0.469,77.0,4
2024-01-07,Organic Search,Mobile,840,793,2624,0.416,139.0,24
2024-01-07,Organic Search,Tablet,158,124,645,0.32,86.8,3
2024-01-07,Paid Search,Desktop,310,292,914,0.556,77.6,4
2024-01-07,Paid Search,Mobile,349,297,887,0.377,92.4,9
2024-01-07,Paid Search,Tablet,64,51,154,0.396,228.9,0
2024-01-07,Social,Desktop,362,306,675,0.692,101.5,8
2024-01-07,Social,Mobile,451,410,1909,0.305,234.8,12
2024-01-07,Social,Tablet,49,40,165,0.68,55.0,1
2024-01-07,Direct,Desktop,193,174,376,0.496,180.5,1
2024-01-07,Direct,Mobile,260,200,657,0.6,233.9,5
2024-01-07,Direct,Tablet,43,37,184,0.451,154.8,0
2024-01-07,Email,Desktop,125,100,443,0.375,221.1,2
2024-01-07,Email,Mobile,176,138,355,0.597,103.6,2
2024-01-07,Email,Tablet,18,15,67,0.633,86.7,0
2024-01-07,Referral,Desktop,89,77,229,0.306,93.4,1
2024-01-07,Referral,Mobile,104,97,448,0.417,236.5,1
2024-01-07,Referral,Tablet,15,12,66,0.454,123.5,0
2024-01-08,Organic Search,Desktop,820,676,2005,0.678,192.5,5
2024-01-08,Organic Search,Mobile,990,753,3409,0.384,76.2,5
2024-01-08,Organic Search,Tablet,104,87,337,0.46,164.2,2
2024-01-08,Paid Search,Desktop,342,320,1057,0.329,199.1,6
2024-01-08,Paid Search,Mobile,418,345,1281,0.347,95.0,9
2024-01-08,Paid Search,Tablet,59,55,106,0.433,211.5,1
2024-01-08,Social,Desktop,293,270,1203,0.658,124.7,2
2024-01-08,Social,Mobile,531,468,2350,0.662,238.3,6
2024-01-08,Social,Tablet,71,59,169,0.499,62.4,1
2024-01-08,Direct,Desktop,215,168,965,0.617,236.4,1
2024-01-08,Direct,Mobile,297,228,1149,0.356,207.6,2
2024-01-08,Direct,Tablet,51,42,184,0.373,183.1,0
2024-01-08,Email,Desktop,98,80,213,0.552,202.3,0
2024-01-08,Email,Mobile,93,71,280,0.43,226.1,1
2024-01-08,Email,Tablet,19,15,38,0.577,176.5,0
2024-01-08,Referral,Desktop,71,63,215,0.461,165.9,1
2024-01-08,Referral,Mobile,91,82,209,0.596,217.0,2
2024-01-08,Referral,Tablet,12,9,50,0.476,96.0,0
2024-01-09,Organic Search,Desktop,1003,897,2407,0.385,78.0,8
2024-01-09,Organic Search,Mobile,889,680,3203,0.637,128.6,22
2024-01-09,Organic Search,Tablet,138,124,282,0.647,79.1,3
2024-01-09,Paid Search,Desktop,220,172,769,0.567,144.7,5
2024-01-09,Paid Search,Mobile,412,335,1711,0.684,106.1,6
2024-01-09,Paid Search,Tablet,55,49,117,0.383,119.1,0
2024-01-09,Social,Desktop,331,265,658,0.578,235.7,5
2024-01-09,Social,Mobile,431,379,889,0.698,66.9,3
2024-01-09,Social,Tablet,83,76,163,0.535,75.8,0
2024-01-09,Direct,Desktop,234,176,1017,0.631,233.4,4
2024-01-09,Direct,Mobile,285,228,932,0.522,189.4,4
2024-01-09,Direct,Tablet,43,36,158,0.327,159.9,0
2024-01-09,Email,Desktop,89,72,272,0.372,233.3,1
2024-01-09,Email,Mobile,115,91,304,0.655,174.5,2
2024-01-09,Email,Tablet,16,15,57,0.502,156.3,0
2024-01-09,Referral,Desktop,100,91,447,0.464,105.8,1
2024-01-09,Referral,Mobile,97,73,403,0.556,159.0,2
2024-01-09,Referral,Tablet,16,14,33,0.635,175.3,0
2024-01-10,Organic Search,Desktop,739,660,2997,0.503,99.9,21
2024-01-10,Organic Search,Mobile,958,764,2988,0.573,141.6,23
2024-01-10,Organic Search,Tablet,139,124,617,0.527,174.8,1
2024-01-10,Paid Search,Desktop,223,185,645,0.355,143.5,4
2024-01-10,Paid Search,Mobile,302,278,875,0.363,226.1,7
2024-01-10,Paid Search,Tablet,48,44,180,0.379,50.0,1
2024-01-10,Social,Desktop,325,299,769,0.519,103.5,9
2024-01-10,Social,Mobile,361,315,846,0.624,227.5,7
2024-01-10,Social,Tablet,78,73,221,0.68,103.4,0
2024-01-10,Direct,Desktop,225,177,997,0.343,45.3,4
2024-01-10,Direct,Mobile,301,257,981,0.384,164.2,1
2024-01-10,Direct,Tablet,43,37,91,0.607,226.5,0
2024-01-10,Email,Desktop,90,68,297,0.695,173.9,1
2024-01-10,Email,Mobile,122,114,247,0.485,158.4,2
2024-01-10,Email,Tablet,21,19,90,0.579,144.6,0
2024-01-10,Referral,Desktop,80,71,300,0.435,212.5,1
2024-01-10,Referral,Mobile,119,104,292,0.663,59.3,1
2024-01-10,Referral,Tablet,16,14,71,0.612,173.8,0
2024-01-11,Organic Search,Desktop,683,564,2668,0.618,103.9,11
2024-01-11,Organic Search,Mobile,1123,989,2973,0.329,58.5,10
2024-01-11,Organic Search,Tablet,142,116,492,0.32,236.0,0
2024-01-11,Paid Search,Desktop,187,156,745,0.542,223.9,5
2024-01-11,Paid Search,Mobile,340,280,878,0.405,84.2,6
2024-01-11,Paid Search,Tablet,56,48,176,0.639,190.2,1
2024-01-11,Social,Desktop,370,286,1541,0.606,228.8,3
2024-01-11,Social,Mobile,359,313,1445,0.58,227.0,2
2024-01-11,Social,Tablet,53,41,140,0.576,219.3,0
2024-01-11,Direct,Desktop,214,202,794,0.661,159.5,5
2024-01-11,Direct,Mobile,264,205,823,0.402,52.7,7
2024-01-11,Direct,Tablet,36,33,85,0.315,58.0,0
2024-01-11,Email,Desktop,104,84,273,0.656,53.4,1
2024-01-11,Email,Mobile,157,121,500,0.324,214.0,4
2024-01-11,Email,Tablet,19,17,69,0.451,85.0,0
2024-01-11,Referral,Desktop,62,50,150,0.663,134.8,0
2024-01-11,Referral,Mobile,112,84,366,0.315,142.4,1
2024-01-11,Referral,Tablet,16,13,69,0.522,138.2,0
2024-01-12,Organic Search,Desktop,400,358,1614,0.438,149.5,4
2024-01-12,Organic Search,Mobile,833,697,3388,0.381,190.1,5
2024-01-12,Organic Search,Tablet,125,113,328,0.347,145.9,2
2024-01-12,Paid Search,Desktop,273,210,1091,0.306,108.8,1
2024-01-12,Paid Search,Mobile,357,275,1519,0.531,233.2,9
2024-01-12,Paid Search,Tablet,49,42,183,0.444,73.2,0
2024-01-12,Social,Desktop,262,245,551,0.57,120.3,2
2024-01-12,Social,Mobile,462,433,1698,0.533,234.6,13
2024-01-12,Social,Tablet,81,68,181,0.341,219.0,0
2024-01-12,Direct,Desktop,220,166,975,0.336,183.7,3
2024-01-12,Direct,Mobile,249,197,691,0.649,208.0,7
2024-01-12,Direct,Tablet,61,54,136,0.591,220.8,1
2024-01-12,Email,Desktop,108,90,313,0.321,82.9,2
2024-01-12,Email,Mobile,142,133,482,0.428,169.0,4
2024-01-12,Email,Tablet,24,22,67,0.342,220.2,0
2024-01-12,Referral,Desktop,58,52,107,0.457,140.9,1
2024-01-12,Referral,Mobile,86,77,174,0.697,237.5,0
2024-01-12,Referral,Tablet,14,12,36,0.537,239.7,0
2024-01-13,Organic Search,Desktop,842,652,3411,0.522,225.6,10
2024-01-13,Organic Search,Mobile,1161,1055,3377,0.476,131.1,6
2024-01-13,Organic Search,Tablet,117,107,358,0.695,145.8,1
2024-01-13,Paid Search,Desktop,419,377,1180,0.387,160.8,10
2024-01-13,Paid Search,Mobile,490,411,1770,0.453,186.0,8
2024-01-13,Paid Search,Tablet,54,48,170,0.588,96.7,0
2024-01-13,Social,Desktop,434,373,857,0.664,118.3,5
2024-01-13,Social,Mobile,413,385,991,0.645,207.7,2
2024-01-13,Social,Tablet,68,60,264,0.538,99.6,0
2024-01-13,Direct,Desktop,256,204,1046,0.597,218.1,1
2024-01-13,Direct,Mobile,461,426,1095,0.661,224.0,6
2024-01-13,Direct,Tablet,55,43,101,0.363,99.4,1
2024-01-13,Email,Desktop,107,87,319,0.503,116.2,2
2024-01-13,Email,Mobile,140,109,408,0.426,130.7,2
2024-01-13,Email,Tablet,24,19,106,0.683,65.2,0
2024-01-13,Referral,Desktop,81,73,213,0.374,105.5,1
2024-01-13,Referral,Mobile,89,71,374,0.557,96.7,1
2024-01-13,Referral,Tablet,19,16,48,0.302,64.8,0
2024-01-14,Organic Search,Desktop,671,590,2985,0.344,120.8,11
2024-01-14,Organic Search,Mobile,979,921,2479,0.67,178.5,13
2024-01-14,Organic Search,Tablet,194,174,649,0.473,45.3,1
2024-01-14,Paid Search,Desktop,302,264,1067,0.423,229.1,3
2024-01-14,Paid Search,Mobile,288,270,656,0.378,167.8,7
2024-01-14,Paid Search,Tablet,57,46,191,0.323,71.9,1
2024-01-14,Social,Desktop,399,311,1272,0.335,172.2,10
2024-01-14,Social,Mobile,480,445,1190,0.587,224.5,6
2024-01-14,Social,Tablet,70,65,252,0.414,228.0,1
2024-01-14,Direct,Desktop,280,214,1179,0.311,140.5,5
2024-01-14,Direct,Mobile,353,291,1205,0.554,51.4,3
2024-01-14,Direct,Tablet,66,59,168,0.351,66.0,1
2024-01-14,Email,Desktop,117,104,490,0.412,178.9,1
2024-01-14,Email,Mobile,121,95,278,0.38,225.1,3
2024-01-14,Email,Tablet,17,15,61,0.518,233.3,0
2024-01-14,Referral,Desktop,73,59,233,0.461,236.3,2
2024-01-14,Referral,Mobile,106,93,399,0.415,160.4,2
2024-01-14,Referral,Tablet,13,10,50,0.328,212.1,0
2024-01-15,Organic Search,Desktop,597,477,2583,0.522,59.5,4
2024-01-15,Organic Search,Mobile,989,882,3645,0.456,68.8,12
2024-01-15,Organic Search,Tablet,141,117,403,0.616,62.3,2
2024-01-15,Paid Search,Desktop,226,180,533,0.635,238.4,3
2024-01-15,Paid Search,Mobile,381,303,1335,0.386,99.9,3
2024-01-15,Paid Search,Tablet,50,45,105,0.453,89.9,1
2024-01-15,Social,Desktop,301,246,925,0.658,103.0,2
2024-01-15,Social,Mobile,474,397,1664,0.568,198.9,3
2024-01-15,Social,Tablet,60,45,222,0.635,56.5,1
2024-01-15,Direct,Desktop,249,190,538,0.535,86.3,2
2024-01-15,Direct,Mobile,297,264,546,0.695,107.8,8
2024-01-15,Direct,Tablet,50,40,208,0.486,223.4,1
2024-01-15,Email,Desktop,113,105,420,0.661,152.0,0
2024-01-15,Email,Mobile,115,92,515,0.585,152.4,1
2024-01-15,Email,Tablet,17,13,46,0.393,154.3,0
2024-01-15,Referral,Desktop,70,59,309,0.449,183.3,1
2024-01-15,Referral,Mobile,109,86,464,0.396,119.4,2
2024-01-15,Referral,Tablet,14,12,60,0.547,107.7,0
2024-01-16,Organic Search,Desktop,787,671,2545,0.39,118.3,14
2024-01-16,Organic Search,Mobile,905,819,1744,0.384,214.7,17
2024-01-16,Organic Search,Tablet,101,90,293,0.507,132.8,1
2024-01-16,Paid Search,Desktop,258,209,696,0.363,201.2,5
2024-01-16,Paid Search,Mobile,322,260,745,0.467,151.3,1
2024-01-16,Paid Search,Tablet,39,34,144,0.554,96.8,0
2024-01-16,Social,Desktop,277,246,871,0.442,168.7,1
2024-01-16,Social,Mobile,583,523,2369,0.51,73.9,8
2024-01-16,Social,Tablet,57,44,114,0.344,71.5,1
2024-01-16,Direct,Desktop,212,193,837,0.474,182.7,2
2024-01-16,Direct,Mobile,228,195,783,0.601,194.2,4
2024-01-16,Direct,Tablet,61,55,225,0.301,226.9,0
2024-01-16,Email,Desktop,98,86,404,0.48,105.3,1
2024-01-16,Email,Mobile,109,102,295,0.441,238.5,1
2024-01-16,Email,Tablet,19,15,55,0.625,105.4,0
2024-01-16,Referral,Desktop,81,68,237,0.597,142.9,1
2024-01-16,Referral,Mobile,82,70,215,0.679,220.4,2
2024-01-16,Referral,Tablet,14,11,53,0.588,110.6,0
2024-01-17,Organic Search,Desktop,582,525,2370,0.384,105.5,6
2024-01-17,Organic Search,Mobile,760,604,2002,0.383,101.7,16
2024-01-17,Organic Search,Tablet,152,124,571,0.444,182.6,1
2024-01-17,Paid Search,Desktop,271,211,680,0.43,112.8,6
2024-01-17,Paid Search,Mobile,281,224,1253,0.686,202.5,5
2024-01-17,Paid Search,Tablet,52,41,111,0.499,201.6,1
2024-01-17,Social,Desktop,363,333,742,0.561,62.2,6
2024-01-17,Social,Mobile,573,442,1817,0.524,234.2,7
2024-01-17,Social,Tablet,64,50,234,0.656,154.6,0
2024-01-17,Direct,Desktop,191,172,445,0.615,161.8,2
2024-01-17,Direct,Mobile,362,321,665,0.407,92.4,3
2024-01-17,Direct,Tablet,51,43,93,0.643,224.8,0
2024-01-17,Email,Desktop,103,89,310,0.671,226.8,1
2024-01-17,Email,Mobile,110,100,334,0.386,57.4,2
2024-01-17,Email,Tablet,21,16,65,0.593,165.4,0
2024-01-17,Referral,Desktop,70,64,185,0.551,53.5,1
2024-01-17,Referral,Mobile,106,80,216,0.594,90.6,2
2024-01-17,Referral,Tablet,14,11,46,0.491,79.5,0
2024-01-18,Organic Search,Desktop,649,555,1967,0.559,126.4,11
2024-01-18,Organic Search,Mobile,753,646,3220,0.685,49.1,10
2024-01-18,Organic Search,Tablet,105,79,455,0.561,132.7,2
2024-01-18,Paid Search,Desktop,223,179,599,0.7,136.8,6
2024-01-18,Paid Search,Mobile,355,322,1224,0.427,147.7,10
2024-01-18,Paid Search,Tablet,57,48,113,0.699,48.7,0
2024-01-18,Social,Desktop,301,228,1350,0.57,197.2,3
2024-01-18,Social,Mobile,518,464,1442,0.355,162.2,6
2024-01-18,Social,Tablet,86,79,217,0.66,236.5,0
2024-01-18,Direct,Desktop,240,185,514,0.408,169.6,1
2024-01-18,Direct,Mobile,363,306,757,0.665,212.1,10
2024-01-18,Direct,Tablet,45,41,142,0.519,113.6,1
2024-01-18,Email,Desktop,74,64,194,0.474,173.4,1
2024-01-18,Email,Mobile,106,95,416,0.612,214.5,1
2024-01-18,Email,Tablet,19,16,75,0.36,74.4,0
2024-01-18,Referral,Desktop,71,57,237,0.609,128.2,0
2024-01-18,Referral,Mobile,117,98,440,0.575,198.5,1
2024-01-18,Referral,Tablet,13,11,37,0.419,237.2,0
2024-01-19,Organic Search,Desktop,805,674,2680,0.581,97.2,15
2024-01-19,Organic Search,Mobile,958,900,3303,0.369,108.9,16
2024-01-19,Organic Search,Tablet,142,113,321,0.466,106.0,1
2024-01-19,Paid Search,Desktop,254,206,760,0.633,126.2,7
2024-01-19,Paid Search,Mobile,254,223,764,0.408,200.4,3
2024-01-19,Paid Search,Tablet,50,40,214,0.453,197.7,0
2024-01-19,Social,Desktop,370,345,1274,0.576,202.3,9
2024-01-19,Social,Mobile,321,260,1244,0.375,117.8,7
2024-01-19,Social,Tablet,64,48,168,0.432,117.2,0
2024-01-19,Direct,Desktop,212,173,660,0.317,236.3,2
2024-01-19,Direct,Mobile,284,256,954,0.694,171.8,2
2024-01-19,Direct,Tablet,47,36,93,0.395,179.4,0
2024-01-19,Email,Desktop,97,87,224,0.546,189.2,1
2024-01-19,Email,Mobile,110,84,212,0.479,62.5,2
2024-01-19,Email,Tablet,17,14,69,0.663,83.7,0
2024-01-19,Referral,Desktop,87,71,377,0.575,233.5,0
2024-01-19,Referral,Mobile,98,91,347,0.571,207.9,1
2024-01-19,Referral,Tablet,12,9,25,0.479,157.5,0
2024-01-20,Organic Search,Desktop,886,722,3080,0.307,78.9,8
2024-01-20,Organic Search,Mobile,934,864,1786,0.611,87.0,27
2024-01-20,Organic Search,Tablet,183,170,717,0.528,200.3,0
2024-01-20,Paid Search,Desktop,332,262,1158,0.303,191.4,5
2024-01-20,Paid Search,Mobile,387,334,862,0.382,200.2,10
2024-01-20,Paid Search,Tablet,65,59,192,0.308,130.4,1
2024-01-20,Social,Desktop,301,283,816,0.593,74.1,7
2024-01-20,Social,Mobile,382,302,1126,0.337,143.6,8
2024-01-20,Social,Tablet,85,75,247,0.375,206.2,2
2024-01-20,Direct,Desktop,258,195,677,0.592,223.3,4
2024-01-20,Direct,Mobile,348,283,1328,0.536,167.9,3
2024-01-20,Direct,Tablet,57,51,137,0.425,200.3,1
2024-01-20,Email,Desktop,84,78,297,0.439,90.1,1
2024-01-20,Email,Mobile,142,117,607,0.415,57.2,1
2024-01-20,Email,Tablet,24,21,46,0.666,59.5,0
2024-01-20,Referral,Desktop,73,69,230,0.489,168.9,0
2024-01-20,Referral,Mobile,127,116,418,0.521,133.5,3
2024-01-20,Referral,Tablet,16,14,59,0.473,187.5,0
2024-01-21,Organic Search,Desktop,767,714,2981,0.626,136.9,8
2024-01-21,Organic Search,Mobile,1089,1023,2711,0.536,118.9,7
2024-01-21,Organic Search,Tablet,200,163,410,0.568,70.6,3
2024-01-21,Paid Search,Desktop,321,262,1433,0.57,221.9,3
2024-01-21,Paid Search,Mobile,360,277,1079,0.509,48.1,8
2024-01-21,Paid Search,Tablet,52,46,105,0.307,234.9,1
2024-01-21,Social,Desktop,443,398,1813,0.401,49.9,2
2024-01-21,Social,Mobile,431,340,1227,0.622,198.5,8
2024-01-21,Social,Tablet,71,55,259,0.305,86.4,0
2024-01-21,Direct,Desktop,270,215,789,0.413,102.6,4
2024-01-21,Direct,Mobile,299,236,600,0.437,104.5,6
2024-01-21,Direct,Tablet,60,53,217,0.357,92.6,0
2024-01-21,Email,Desktop,94,71,319,0.449,106.0,0
2024-01-21,Email,Mobile,168,143,725,0.317,56.9,4
2024-01-21,Email,Tablet,22,17,42,0.609,79.2,0
2024-01-21,Referral,Desktop,67,63,243,0.614,168.1,1
2024-01-21,Referral,Mobile,101,82,367,0.364,212.0,3
2024-01-21,Referral,Tablet,17,12,39,0.681,163.8,0
2024-01-22,Organic Search,Desktop,774,662,2357,0.38,177.1,9
2024-01-22,Organic Search,Mobile,886,716,3096,0.645,197.3,24
2024-01-22,Organic Search,Tablet,171,147,713,0.679,81.9,2
2024-01-22,Paid Search,Desktop,325,251,1409,0.522,232.0,5
2024-01-22,Paid Search,Mobile,338,311,1095,0.363,112.9,6
2024-01-22,Paid Search,Tablet,50,42,109,0.485,179.2,0
2024-01-22,Social,Desktop,307,282,611,0.307,234.9,6
2024-01-22,Social,Mobile,480,423,2136,0.5,116.0,4
2024-01-22,Social,Tablet,65,48,173,0.477,140.3,0
2024-01-22,Direct,Desktop,231,174,767,0.631,192.8,5
2024-01-22,Direct,Mobile,311,280,1181,0.533,191.1,9
2024-01-22,Direct,Tablet,48,43,204,0.691,185.8,0
2024-01-22,Email,Desktop,98,91,188,0.39,79.3,1
2024-01-22,Email,Mobile,142,126,510,0.301,128.1,1
2024-01-22,Email,Tablet,21,19,58,0.609,219.2,0
2024-01-22,Referral,Desktop,81,75,224,0.442,148.3,1
2024-01-22,Referral,Mobile,90,74,282,0.483,134.7,2
2024-01-22,Referral,Tablet,14,10,43,0.401,91.2,0
2024-01-23,Organic Search,Desktop,615,543,2612,0.665,222.0,5
2024-01-23,Organic Search,Mobile,1002,849,2348,0.368,181.4,8
2024-01-23,Organic Search,Tablet,162,133,409,0.554,47.7,2
2024-01-23,Paid Search,Desktop,271,218,1044,0.338,55.9,6
2024-01-23,Paid Search,Mobile,365,338,927,0.365,80.5,3
2024-01-23,Paid Search,Tablet,48,39,129,0.647,48.7,1
2024-01-23,Social,Desktop,430,328,1901,0.549,101.8,7
2024-01-23,Social,Mobile,298,272,723,0.636,122.8,5
2024-01-23,Social,Tablet,49,42,212,0.348,128.4,1
2024-01-23,Direct,Desktop,243,205,791,0.661,178.3,3
2024-01-23,Direct,Mobile,297,270,802,0.38,49.9,1
2024-01-23,Direct,Tablet,41,35,120,0.434,196.4,1
2024-01-23,Email,Desktop,97,75,209,0.558,185.8,2
2024-01-23,Email,Mobile,125,106,541,0.448,203.3,1
2024-01-23,Email,Tablet,18,16,74,0.362,108.0,0
2024-01-23,Referral,Desktop,55,46,139,0.585,131.4,0
2024-01-23,Referral,Mobile,127,108,232,0.501,206.3,3
2024-01-23,Referral,Tablet,13,12,29,0.486,187.7,0
2024-01-24,Organic Search,Desktop,827,631,2201,0.44,146.0,21
2024-01-24,Organic Search,Mobile,909,748,3178,0.564,116.5,6
2024-01-24,Organic Search,Tablet,142,110,422,0.491,173.4,4
2024-01-24,Paid Search,Desktop,215,196,621,0.627,198.3,5
2024-01-24,Paid Search,Mobile,285,229,724,0.449,117.0,2
2024-01-24,Paid Search,Tablet,38,32,165,0.407,122.2,1
2024-01-24,Social,Desktop,439,383,1050,0.476,222.5,12
2024-01-24,Social,Mobile,516,424,1128,0.377,203.9,10
2024-01-24,Social,Tablet,62,48,179,0.371,102.5,0
2024-01-24,Direct,Desktop,260,241,670,0.565,78.2,4
2024-01-24,Direct,Mobile,247,197,621,0.593,116.8,5
2024-01-24,Direct,Tablet,42,37,149,0.64,53.0,0
