order_id,order_date,ship_date,customer_id,product_id,sales_channel,payment_method,quantity,unit_price,discount,sales_amount,cost_amount,profit,order_status
SO100029,2024-01-02,2024-01-09,C01622,P0012,Retail Shop,Credit Card,1,6081.18,0,6081.18,3237.05,2844.13,Completed
SO100030,2024-01-02,2024-01-04,C00092,P0029,Retail Shop,Cash on Delivery,4,9842.19,0.1,35431.88,19337.32,16094.56,Completed
SO100031,2024-01-02,2024-01-05,C01271,P0034,Marketplace,Cash on Delivery,1,5674.95,0,5674.95,3356.11,2318.84,Completed
SO100032,2024-01-02,2024-01-03,C00708,P0032,Online Store,Credit Card,1,5237.53,0.05,4975.65,2493.95,2481.7,Completed
SO100033,2024-01-02,2024-01-07,C01456,P0014,Marketplace,Credit Card,1,3738.19,0,3738.19,2752.22,985.97,Cancelled
SO100034,2024-01-02,2024-01-09,C00500,P0022,Sales Rep,PromptPay,3,7381.54,0,22144.62,12701.7,9442.92,Completed
SO100035,2024-01-02,2024-01-05,C00736,P0057,Retail Shop,Cash on Delivery,2,5299.84,0,10599.68,6547.6,4052.08,Completed
SO100036,2024-01-02,2024-01-04,C01416,P0020,Sales Rep,PromptPay,1,3344.65,0,3344.65,1824.4,1520.25,Completed
SO100037,2024-01-02,2024-01-04,C00981,P0047,Marketplace,PromptPay,1,2396.3,0,2396.3,1169.77,1226.53,Completed
SO100038,2024-01-02,2024-01-05,C01574,P0056,Retail Shop,PromptPay,4,7329.34,0,29317.36,19039.64,10277.72,Completed
SO100039,2024-01-02,2024-01-03,C00502,P0056,Retail Shop,Cash on Delivery,1,7329.34,0.05,6962.87,4759.91,2202.96,Completed
SO100040,2024-01-02,2024-01-04,C00085,P0043,Sales Rep,Cash on Delivery,3,4062.61,0.15,10359.66,6417.15,3942.51,Completed
SO100041,2024-01-02,2024-01-05,C01506,P0060,Marketplace,Cash on Delivery,1,1288.75,0.1,1159.88,812.83,347.05,Completed
SO100042,2024-01-02,2024-01-03,C00612,P0045,Marketplace,PromptPay,1,6524.01,0,6524.01,3842.27,2681.74,Completed
SO100043,2024-01-03,2024-01-06,C00385,P0031,Online Store,Credit Card,2,3523.21,0,7046.42,3862.3,3184.12,Completed
SO100044,2024-01-03,2024-01-10,C00804,P0034,Marketplace,Cash on Delivery,1,5674.95,0,5674.95,3356.11,2318.84,Completed
SO100045,2024-01-03,2024-01-06,C00130,P0060,Marketplace,Credit Card,1,1288.75,0,1288.75,812.83,475.92,Completed
SO100046,2024-01-03,2024-01-05,C00157,P0054,Retail Shop,Bank Transfer,1,2515.37,0,2515.37,1690.73,824.64,Cancelled
SO100047,2024-01-03,2024-01-04,C01640,P0006,Online Store,Credit Card,5,1961.48,0.15,8336.29,5920.7,2415.59,Completed
SO100048,2024-01-03,2024-01-05,C01874,P0036,Retail Shop,Cash on Delivery,2,11964.76,0,23929.52,11945.58,11983.94,Completed
SO100049,2024-01-03,2024-01-08,C00227,P0015,Retail Shop,Bank Transfer,3,1756.87,0,5270.61,3656.22,1614.39,Completed
SO100050,2024-01-03,2024-01-04,C01136,P0031,Online Store,PromptPay,4,3523.21,0,14092.84,7724.6,6368.24,Completed
SO100051,2024-01-03,2024-01-06,C00087,P0015,Online Store,Bank Transfer,1,1756.87,0,1756.87,1218.74,538.13,Completed
SO100052,2024-01-03,2024-01-04,C00711,P0044,Retail Shop,Bank Transfer,1,6151.1,0.15,5228.44,4101.61,1126.83,Completed
SO100053,2024-01-03,2024-01-10,C01807,P0012,Retail Shop,Bank Transfer,1,6081.18,0.2,4864.94,3237.05,1627.89,Completed
SO100054,2024-01-03,2024-01-04,C00415,P0005,Retail Shop,Credit Card,2,1154.82,0,2309.64,1706.08,603.56,Completed
SO100055,2024-01-03,2024-01-08,C01097,P0003,Marketplace,Cash on Delivery,3,3896.65,0.05,11105.45,6609.93,4495.52,Returned
SO100056,2024-01-03,2024-01-06,C00849,P0014,Sales Rep,Cash on Delivery,2,3738.19,0,7476.38,5504.44,1971.94,Completed
SO100057,2024-01-03,2024-01-10,C00626,P0052,Marketplace,Credit Card,2,2299.6,0,4599.2,2894.5,1704.7,Completed
SO100058,2024-01-03,2024-01-05,C00869,P0019,Marketplace,PromptPay,1,2314.07,0.1,2082.66,1081.77,1000.89,Completed
SO100059,2024-01-03,2024-01-05,C00874,P0007,Marketplace,Credit Card,1,3056.43,0,3056.43,1664.13,1392.3,Completed
SO100060,2024-01-03,2024-01-05,C00520,P0011,Retail Shop,Cash on Delivery,1,1857.44,0.05,1764.57,1424.51,340.06,Completed
SO100061,2024-01-03,2024-01-06,C00388,P0049,Sales Rep,Bank Transfer,4,7844.05,0,31376.2,19852.72,11523.48,Completed
SO100062,2024-01-04,2024-01-09,C00939,P0013,Online Store,Credit Card,2,951.59,0,1903.18,1378.8,524.38,Completed
SO100063,2024-01-04,2024-01-06,C01009,P0046,Marketplace,Bank Transfer,3,3112.92,0,9338.76,4335.66,5003.1,Completed
SO100064,2024-01-04,2024-01-07,C01121,P0024,Retail Shop,PromptPay,1,7277.41,0.1,6549.67,3922.11,2627.56,Completed
SO100065,2024-01-04,2024-01-05,C00670,P0033,Online Store,Cash on Delivery,4,6400.14,0,25600.56,17848.12,7752.44,Returned
SO100066,2024-01-04,2024-01-06,C00492,P0051,Online Store,Credit Card,1,6235.15,0,6235.15,3488.34,2746.81,Completed
SO100067,2024-01-04,2024-01-06,C00320,P0034,Sales Rep,Bank Transfer,3,5674.95,0,17024.85,10068.33,6956.52,Completed
SO100068,2024-01-04,2024-01-07,C01437,P0055,Retail Shop,Credit Card,1,2340.98,0,2340.98,1159.15,1181.83,Returned
SO100069,2024-01-04,2024-01-05,C01359,P0028,Online Store,Bank Transfer,1,6888.25,0.1,6199.43,3890.92,2308.51,Completed
SO100070,2024-01-04,2024-01-07,C00720,P0021,Online Store,Cash on Delivery,1,8337.14,0.1,7503.43,3902.39,3601.04,Completed
SO100071,2024-01-04,2024-01-07,C00167,P0026,Online Store,PromptPay,4,9740.44,0.05,37013.67,21760.88,15252.79,Completed
SO100072,2024-01-04,2024-01-05,C00638,P0028,Online Store,PromptPay,1,6888.25,0.15,5855.01,3890.92,1964.09,Completed
SO100073,2024-01-04,2024-01-06,C01418,P0035,Online Store,Cash on Delivery,2,6101.81,0,12203.62,8385.56,3818.06,Completed
SO100074,2024-01-04,2024-01-07,C00467,P0027,Online Store,PromptPay,2,1568.2,0,3136.4,2252.3,884.1,Completed
SO100075,2024-01-04,2024-01-09,C00818,P0016,Online Store,Bank Transfer,1,9284.71,0.2,7427.77,5241.46,2186.31,Completed
SO100076,2024-01-04,2024-01-05,C00382,P0038,Sales Rep,Bank Transfer,1,7332.43,0,7332.43,4557.54,2774.89,Completed
SO100077,2024-01-04,2024-01-05,C00573,P0020,Online Store,Bank Transfer,1,3344.65,0.1,3010.18,1824.4,1185.78,Completed
SO100078,2024-01-04,2024-01-07,C01498,P0048,Retail Shop,Bank Transfer,1,6484.47,0,6484.47,3708.24,2776.23,Completed
SO100079,2024-01-04,2024-01-07,C00342,P0019,Sales Rep,Cash on Delivery,1,2314.07,0,2314.07,1081.77,1232.3,Completed
SO100080,2024-01-04,2024-01-06,C00655,P0005,Retail Shop,Cash on Delivery,1,1154.82,0,1154.82,853.04,301.78,Completed
SO100081,2024-01-04,2024-01-05,C01821,P0020,Marketplace,Bank Transfer,5,3344.65,0,16723.25,9122.0,7601.25,Completed
SO100082,2024-01-04,2024-01-09,C00659,P0005,Online Store,PromptPay,1,1154.82,0.15,981.6,853.04,128.56,Completed
SO100083,2024-01-05,2024-01-06,C01923,P0045,Retail Shop,Credit Card,2,6524.01,0,13048.02,7684.54,5363.48,Completed
SO100084,2024-01-05,2024-01-07,C00152,P0042,Sales Rep,PromptPay,1,3499.17,0.05,3324.21,2147.31,1176.9,Completed
SO100085,2024-01-05,2024-01-07,C00080,P0019,Sales Rep,Credit Card,2,2314.07,0,4628.14,2163.54,2464.6,Completed
SO100086,2024-01-05,2024-01-10,C01980,P0010,Online Store,Credit Card,4,3668.18,0.15,12471.81,7367.52,5104.29,Completed
SO100087,2024-01-05,2024-01-10,C01292,P0042,Sales Rep,Bank Transfer,3,3499.17,0,10497.51,6441.93,4055.58,Completed
SO100088,2024-01-05,2024-01-07,C01570,P0013,Online Store,PromptPay,3,951.59,0.05,2712.03,2068.2,643.83,Completed
SO100089,2024-01-05,2024-01-06,C01570,P0049,Retail Shop,PromptPay,1,7844.05,0,7844.05,4963.18,2880.87,Completed
SO100090,2024-01-05,2024-01-06,C00606,P0017,Sales Rep,Cash on Delivery,1,6305.48,0.1,5674.93,3691.79,1983.14,Completed
SO100091,2024-01-05,2024-01-07,C01527,P0044,Sales Rep,Bank Transfer,5,6151.1,0.05,29217.72,20508.05,8709.67,Completed
SO100092,2024-01-05,2024-01-06,C01077,P0003,Sales Rep,Bank Transfer,1,3896.65,0.15,3312.15,2203.31,1108.84,Completed
SO100093,2024-01-05,2024-01-07,C00707,P0001,Sales Rep,Bank Transfer,2,5156.72,0.05,9797.77,5106.04,4691.73,Completed
SO100094,2024-01-05,2024-01-07,C00951,P0040,Online Store,Credit Card,1,3716.07,0,3716.07,1858.29,1857.78,Completed
SO100095,2024-01-05,2024-01-06,C01455,P0022,Retail Shop,Cash on Delivery,1,7381.54,0,7381.54,4233.9,3147.64,Completed
SO100096,2024-01-05,2024-01-06,C00942,P0057,Sales Rep,Cash on Delivery,3,5299.84,0.1,14309.57,9821.4,4488.17,Completed
SO100097,2024-01-05,2024-01-06,C00357,P0015,Online Store,Cash on Delivery,2,1756.87,0,3513.74,2437.48,1076.26,Completed
SO100098,2024-01-05,2024-01-12,C00833,P0056,Retail Shop,Bank Transfer,2,7329.34,0.05,13925.75,9519.82,4405.93,Completed
SO100099,2024-01-05,2024-01-07,C00790,P0013,Sales Rep,Cash on Delivery,1,951.59,0,951.59,689.4,262.19,Returned
SO100100,2024-01-05,2024-01-07,C01498,P0013,Retail Shop,Bank Transfer,3,951.59,0,2854.77,2068.2,786.57,Completed
SO100101,2024-01-05,2024-01-07,C01499,P0022,Retail Shop,Bank Transfer,1,7381.54,0.1,6643.39,4233.9,2409.49,Completed
SO100102,2024-01-05,2024-01-12,C01702,P0004,Retail Shop,PromptPay,1,4559.99,0.05,4331.99,3472.87,859.12,Completed
SO100103,2024-01-06,2024-01-09,C01213,P0020,Retail Shop,Bank Transfer,1,3344.65,0,3344.65,1824.4,1520.25,Completed
SO100104,2024-01-06,2024-01-08,C01510,P0052,Online Store,Credit Card,1,2299.6,0.05,2184.62,1447.25,737.37,Completed
SO100105,2024-01-06,2024-01-08,C01122,P0048,Online Store,Credit Card,5,6484.47,0.1,29180.12,18541.2,10638.92,Completed
SO100106,2024-01-06,2024-01-09,C01733,P0026,Sales Rep,Credit Card,1,9740.44,0,9740.44,5440.22,4300.22,Completed
SO100107,2024-01-06,2024-01-11,C01063,P0041,Sales Rep,Bank Transfer,2,6964.31,0.05,13232.19,9490.58,3741.61,Completed
SO100108,2024-01-06,2024-01-07,C01523,P0009,Marketplace,Bank Transfer,3,731.22,0.05,2083.98,1259.43,824.55,Completed
SO100109,2024-01-06,2024-01-07,C01194,P0006,Retail Shop,Cash on Delivery,1,1961.48,0,1961.48,1184.14,777.34,Completed
SO100110,2024-01-06,2024-01-07,C01487,P0028,Retail Shop,Credit Card,1,6888.25,0.15,5855.01,3890.92,1964.09,Completed
SO100111,2024-01-06,2024-01-09,C01983,P0013,Sales Rep,Bank Transfer,1,951.59,0.15,808.85,689.4,119.45,Completed
SO100112,2024-01-06,2024-01-13,C01069,P0052,Marketplace,Cash on Delivery,1,2299.6,0.05,2184.62,1447.25,737.37,Completed
SO100113,2024-01-06,2024-01-09,C00509,P0058,Sales Rep,Bank Transfer,3,2139.32,0,6417.96,3498.78,2919.18,Completed
SO100114,2024-01-06,2024-01-13,C00108,P0053,Retail Shop,Bank Transfer,1,3731.52,0,3731.52,2372.15,1359.37,Completed
SO100115,2024-01-06,2024-01-08,C01863,P0048,Online Store,Bank Transfer,2,6484.47,0.05,12320.49,7416.48,4904.01,Completed
SO100116,2024-01-07,2024-01-09,C00678,P0019,Retail Shop,Credit Card,1,2314.07,0,2314.07,1081.77,1232.3,Completed
SO100117,2024-01-07,2024-01-14,C01299,P0002,Online Store,Cash on Delivery,2,5627.44,0,11254.88,5440.94,5813.94,Completed
SO100118,2024-01-07,2024-01-09,C00184,P0035,Online Store,Bank Transfer,1,6101.81,0,6101.81,4192.78,1909.03,Completed
SO100119,2024-01-07,2024-01-12,C01073,P0036,Retail Shop,Cash on Delivery,4,11964.76,0,47859.04,23891.16,23967.88,Completed
SO100120,2024-01-07,2024-01-09,C00940,P0053,Marketplace,PromptPay,1,3731.52,0.2,2985.22,2372.15,613.07,Completed
SO100121,2024-01-07,2024-01-10,C01244,P0028,Marketplace,Bank Transfer,1,6888.25,0,6888.25,3890.92,2997.33,Completed
SO100122,2024-01-07,2024-01-08,C00797,P0028,Retail Shop,Cash on Delivery,1,6888.25,0,6888.25,3890.92,2997.33,Completed
SO100123,2024-01-07,2024-01-12,C01885,P0011,Marketplace,Cash on Delivery,1,1857.44,0,1857.44,1424.51,432.93,Completed
SO100124,2024-01-07,2024-01-14,C01135,P0057,Retail Shop,Credit Card,3,5299.84,0,15899.52,9821.4,6078.12,Completed
SO100125,2024-01-07,2024-01-08,C00893,P0035,Online Store,PromptPay,1,6101.81,0,6101.81,4192.78,1909.03,Completed
SO100126,2024-01-07,2024-01-08,C00674,P0018,Sales Rep,Bank Transfer,4,5708.01,0,22832.04,15369.4,7462.64,Completed
SO100127,2024-01-07,2024-01-08,C01760,P0040,Sales Rep,Bank Transfer,1,3716.07,0,3716.07,1858.29,1857.78,Completed
SO100128,2024-01-07,2024-01-09,C00301,P0019,Retail Shop,Bank Transfer,1,2314.07,0.05,2198.37,1081.77,1116.6,Completed
SO100129,2024-01-07,2024-01-09,C00669,P0032,Retail Shop,PromptPay,2,5237.53,0,10475.06,4987.9,5487.16,Completed
SO100130,2024-01-07,2024-01-12,C00107,P0058,Marketplace,Cash on Delivery,1,2139.32,0.1,1925.39,1166.26,759.13,Completed
SO100131,2024-01-07,2024-01-10,C00615,P0001,Retail Shop,Cash on Delivery,1,5156.72,0,5156.72,2553.02,2603.7,Completed
SO100132,2024-01-07,2024-01-09,C01036,P0030,Online Store,PromptPay,4,342.53,0.15,1164.6,1028.28,136.32,Completed
SO100133,2024-01-07,2024-01-09,C00144,P0031,Retail Shop,PromptPay,1,3523.21,0.2,2818.57,1931.15,887.42,Completed
SO100134,2024-01-07,2024-01-08,C00980,P0036,Retail Shop,PromptPay,2,11964.76,0.15,20340.09,11945.58,8394.51,Completed
SO100135,2024-01-07,2024-01-08,C00930,P0053,Marketplace,Credit Card,1,3731.52,0,3731.52,2372.15,1359.37,Completed
SO100136,2024-01-07,2024-01-09,C00316,P0031,Retail Shop,Cash on Delivery,1,3523.21,0,3523.21,1931.15,1592.06,Completed
SO100137,2024-01-07,2024-01-09,C00931,P0027,Online Store,Bank Transfer,3,1568.2,0.05,4469.37,3378.45,1090.92,Completed
SO100138,2024-01-07,2024-01-09,C01820,P0044,Online Store,PromptPay,3,6151.1,0,18453.3,12304.83,6148.47,Completed
SO100139,2024-01-07,2024-01-09,C00846,P0014,Sales Rep,Credit Card,1,3738.19,0,3738.19,2752.22,985.97,Completed
SO100140,2024-01-08,2024-01-15,C01259,P0013,Marketplace,Credit Card,3,951.59,0.05,2712.03,2068.2,643.83,Completed
SO100141,2024-01-08,2024-01-10,C01552,P0018,Retail Shop,Bank Transfer,1,5708.01,0,5708.01,3842.35,1865.66,Completed
SO100142,2024-01-08,2024-01-10,C00699,P0060,Retail Shop,PromptPay,1,1288.75,0,1288.75,812.83,475.92,Completed
SO100143,2024-01-08,2024-01-11,C01465,P0012,Marketplace,PromptPay,1,6081.18,0,6081.18,3237.05,2844.13,Completed
SO100144,2024-01-08,2024-01-09,C01197,P0042,Marketplace,PromptPay,2,3499.17,0.05,6648.42,4294.62,2353.8,Completed
SO100145,2024-01-08,2024-01-09,C00648,P0010,Online Store,Credit Card,1,3668.18,0,3668.18,1841.88,1826.3,Completed
SO100146,2024-01-08,2024-01-11,C00832,P0033,Sales Rep,PromptPay,1,6400.14,0.15,5440.12,4462.03,978.09,Completed
SO100147,2024-01-08,2024-01-10,C00595,P0055,Online Store,Credit Card,2,2340.98,0,4681.96,2318.3,2363.66,Completed
SO100148,2024-01-08,2024-01-09,C01048,P0008,Sales Rep,Cash on Delivery,2,2251.16,0,4502.32,2808.68,1693.64,Completed
SO100149,2024-01-08,2024-01-11,C00274,P0045,Online Store,Cash on Delivery,1,6524.01,0.15,5545.41,3842.27,1703.14,Completed
SO100150,2024-01-08,2024-01-11,C00816,P0023,Retail Shop,Credit Card,1,4144.95,0,4144.95,2250.56,1894.39,Completed
SO100151,2024-01-08,2024-01-11,C01155,P0009,Marketplace,Credit Card,1,731.22,0,731.22,419.81,311.41,Completed
SO100152,2024-01-08,2024-01-11,C01854,P0052,Marketplace,Cash on Delivery,5,2299.6,0.1,10348.2,7236.25,3111.95,Completed
SO100153,2024-01-08,2024-01-11,C00888,P0030,Online Store,Credit Card,4,342.53,0,1370.12,1028.28,341.84,Completed
SO100154,2024-01-08,2024-01-10,C00406,P0038,Sales Rep,PromptPay,2,7332.43,0.1,13198.37,9115.08,4083.29,Completed
SO100155,2024-01-08,2024-01-09,C01022,P0048,Online Store,Credit Card,1,6484.47,0,6484.47,3708.24,2776.23,Completed
SO100156,2024-01-08,2024-01-11,C00296,P0055,Marketplace,PromptPay,1,2340.98,0.2,1872.78,1159.15,713.63,Cancelled
SO100157,2024-01-08,2024-01-09,C01417,P0017,Online Store,Credit Card,1,6305.48,0.05,5990.21,3691.79,2298.42,Completed
SO100158,2024-01-08,2024-01-09,C01359,P0006,Marketplace,Credit Card,4,1961.48,0.1,7061.33,4736.56,2324.77,Completed
SO100159,2024-01-08,2024-01-10,C01390,P0028,Sales Rep,PromptPay,1,6888.25,0,6888.25,3890.92,2997.33,Completed
SO100160,2024-01-08,2024-01-11,C00849,P0058,Online Store,PromptPay,2,2139.32,0,4278.64,2332.52,1946.12,Completed
SO100161,2024-01-09,2024-01-11,C01616,P0005,Sales Rep,PromptPay,1,1154.82,0.2,923.86,853.04,70.82,Completed
SO100162,2024-01-09,2024-01-10,C00531,P0060,Retail Shop,Bank Transfer,4,1288.75,0,5155.0,3251.32,1903.68,Completed
SO100163,2024-01-09,2024-01-11,C00557,P0045,Online Store,Bank Transfer,1,6524.01,0,6524.01,3842.27,2681.74,Completed
SO100164,2024-01-09,2024-01-10,C01777,P0051,Online Store,Cash on Delivery,2,6235.15,0,12470.3,6976.68,5493.62,Completed
SO100165,2024-01-09,2024-01-10,C01098,P0052,Marketplace,Bank Transfer,1,2299.6,0,2299.6,1447.25,852.35,Completed
SO100166,2024-01-09,2024-01-16,C01730,P0012,Marketplace,Credit Card,2,6081.18,0,12162.36,6474.1,5688.26,Completed
SO100167,2024-01-09,2024-01-10,C01003,P0041,Retail Shop,Credit Card,1,6964.31,0,6964.31,4745.29,2219.02,Completed
SO100168,2024-01-09,2024-01-16,C00693,P0011,Marketplace,PromptPay,3,1857.44,0,5572.32,4273.53,1298.79,Completed
SO100169,2024-01-09,2024-01-11,C01032,P0002,Sales Rep,Bank Transfer,2,5627.44,0,11254.88,5440.94,5813.94,Completed
SO100170,2024-01-09,2024-01-14,C00487,P0007,Retail Shop,PromptPay,4,3056.43,0,12225.72,6656.52,5569.2,Completed
SO100171,2024-01-09,2024-01-14,C00337,P0052,Online Store,PromptPay,1,2299.6,0,2299.6,1447.25,852.35,Completed
SO100172,2024-01-09,2024-01-11,C00394,P0022,Marketplace,Cash on Delivery,1,7381.54,0.15,6274.31,4233.9,2040.41,Completed
SO100173,2024-01-09,2024-01-10,C01006,P0057,Online Store,Credit Card,1,5299.84,0,5299.84,3273.8,2026.04,Completed
SO100174,2024-01-10,2024-01-17,C01668,P0030,Retail Shop,Bank Transfer,1,342.53,0.05,325.4,257.07,68.33,Completed
SO100175,2024-01-10,2024-01-11,C01582,P0054,Sales Rep,Credit Card,3,2515.37,0,7546.11,5072.19,2473.92,Completed
SO100176,2024-01-10,2024-01-11,C01614,P0036,Sales Rep,Cash on Delivery,1,11964.76,0.05,11366.52,5972.79,5393.73,Completed
SO100177,2024-01-10,2024-01-11,C01037,P0060,Retail Shop,Cash on Delivery,2,1288.75,0,2577.5,1625.66,951.84,Completed
SO100178,2024-01-10,2024-01-11,C01000,P0036,Online Store,Bank Transfer,2,11964.76,0.2,19143.62,11945.58,7198.04,Completed
SO100179,2024-01-10,2024-01-17,C01347,P0050,Retail Shop,Bank Transfer,2,1070.16,0.1,1926.29,1233.68,692.61,Completed
SO100180,2024-01-10,2024-01-11,C01172,P0022,Marketplace,PromptPay,1,7381.54,0,7381.54,4233.9,3147.64,Completed
SO100181,2024-01-10,2024-01-12,C01395,P0003,Sales Rep,Cash on Delivery,2,3896.65,0.05,7403.64,4406.62,2997.02,Completed
SO100182,2024-01-10,2024-01-11,C01041,P0002,Online Store,Bank Transfer,1,5627.44,0.2,4501.95,2720.47,1781.48,Completed
SO100183,2024-01-10,2024-01-12,C01261,P0013,Retail Shop,Credit Card,1,951.59,0,951.59,689.4,262.19,Cancelled
SO100184,2024-01-10,2024-01-12,C01877,P0037,Online Store,Cash on Delivery,2,1155.47,0,2310.94,1099.5,1211.44,Completed
SO100185,2024-01-10,2024-01-11,C01776,P0040,Marketplace,Bank Transfer,1,3716.07,0,3716.07,1858.29,1857.78,Completed
SO100186,2024-01-10,2024-01-15,C00924,P0038,Marketplace,PromptPay,1,7332.43,0,7332.43,4557.54,2774.89,Completed
SO100187,2024-01-10,2024-01-12,C01791,P0015,Retail Shop,PromptPay,3,1756.87,0,5270.61,3656.22,1614.39,Completed
SO100188,2024-01-10,2024-01-15,C00735,P0057,Online Store,Bank Transfer,1,5299.84,0.05,5034.85,3273.8,1761.05,Completed
SO100189,2024-01-10,2024-01-15,C01440,P0025,Marketplace,Credit Card,1,12260.15,0.1,11034.14,5871.62,5162.52,Completed
SO100190,2024-01-11,2024-01-14,C00445,P0020,Sales Rep,Cash on Delivery,1,3344.65,0,3344.65,1824.4,1520.25,Completed
SO100191,2024-01-11,2024-01-12,C01079,P0059,Online Store,PromptPay,2,8973.93,0.1,16153.07,10106.48,6046.59,Completed
SO100192,2024-01-11,2024-01-14,C01239,P0002,Online Store,Credit Card,1,5627.44,0,5627.44,2720.47,2906.97,Completed
SO100193,2024-01-11,2024-01-13,C00580,P0001,Sales Rep,Credit Card,2,5156.72,0.1,9282.1,5106.04,4176.06,Completed
SO100194,2024-01-11,2024-01-13,C00173,P0048,Online Store,Cash on Delivery,1,6484.47,0,6484.47,3708.24,2776.23,Completed
SO100195,2024-01-11,2024-01-14,C00162,P0013,Retail Shop,Credit Card,2,951.59,0,1903.18,1378.8,524.38,Completed
SO100196,2024-01-11,2024-01-12,C01727,P0052,Retail Shop,PromptPay,1,2299.6,0,2299.6,1447.25,852.35,Completed
SO100197,2024-01-11,2024-01-12,C00094,P0057,Sales Rep,PromptPay,1,5299.84,0,5299.84,3273.8,2026.04,Completed
SO100198,2024-01-11,2024-01-12,C01661,P0011,Online Store,Credit Card,1,1857.44,0,1857.44,1424.51,432.93,Completed
SO100199,2024-01-11,2024-01-13,C01947,P0012,Sales Rep,Cash on Delivery,2,6081.18,0,12162.36,6474.1,5688.26,Completed
SO100200,2024-01-11,2024-01-14,C01649,P0029,Online Store,Credit Card,1,9842.19,0,9842.19,4834.33,5007.86,Completed
SO100201,2024-01-11,2024-01-14,C01906,P0010,Sales Rep,Bank Transfer,5,3668.18,0.2,14672.72,9209.4,5463.32,Returned
